mnames,type,eps,loss,acc,times
fcnet,training,1,0.729479,87.0938,875.123
fcnet,training,2,0.729479,87.0938,498.745
fcnet,training,3,0.729479,87.0938,447.606
fcnet,training,4,0.729479,87.0938,447.177
fcnet,training,5,0.729479,87.0938,446.974
fcnet,training,6,0.729479,87.0938,447.018
fcnet,training,7,0.729479,87.0938,447.325
fcnet,training,8,0.729479,87.0938,446.958
fcnet,training,9,0.729479,87.0938,450.93
fcnet,training,10,0.729479,87.0938,448.334
fcnet,training,11,0.729479,87.0938,446.916
fcnet,training,12,0.729479,87.0938,447.008
fcnet,training,13,0.729479,87.0938,447.183
fcnet,training,14,0.729479,87.0938,446.82
fcnet,training,15,0.729479,87.0938,447.825
fcnet,inference,1,0.646714,86.9792,9.49491
