mnames,type,eps,loss,acc,times
scvnet,training,1,0.351905,91,2388.49
scvnet,training,2,0.351905,91,1818.82
scvnet,training,3,0.351905,91,1797.24
scvnet,training,4,0.351905,91,1794.57
scvnet,training,5,0.351905,91,1796.75
scvnet,training,6,0.351905,91,1795.64
scvnet,training,7,0.351905,91,1796.7
scvnet,training,8,0.351905,91,1796.52
scvnet,training,9,0.351905,91,1795.77
scvnet,training,10,0.351905,91,1796.7
scvnet,training,11,0.351905,91,1796.32
scvnet,training,12,0.351905,91,1796.65
scvnet,training,13,0.351905,91,1796.32
scvnet,training,14,0.351905,91,1795.56
scvnet,training,15,0.351905,91,1794.98
scvnet,inference,1,0.341782,87.5,10.2775
