mnames,type,eps,loss,acc,times
fcnet,training,1,-1,-1,868.81
fcnet,training,2,-1,-1,853.998
fcnet,training,3,-1,-1,853.751
fcnet,training,4,-1,-1,855.614
fcnet,training,5,-1,-1,854.603
fcnet,training,6,-1,-1,855.225
fcnet,training,7,-1,-1,855.366
fcnet,training,8,-1,-1,854.386
fcnet,training,9,-1,-1,854.282
fcnet,training,10,-1,-1,854.802
fcnet,training,11,-1,-1,855.044
fcnet,training,12,-1,-1,854.932
fcnet,training,13,-1,-1,852.739
fcnet,training,14,-1,-1,897.148
fcnet,training,15,-1,-1,867.181
