mnames,type,eps,loss,acc,times
fcnet,training,1,0.3530371904339594,0.9248,7696.34375
fcnet,training,2,0.2618356795397847,0.9329,6934.4970703125
fcnet,training,3,0.197978126328759,0.9391,6927.09130859375
fcnet,training,4,0.1892118545505132,0.9501,6883.17822265625
fcnet,training,5,0.17084166415185087,0.9576,6933.8388671875
fcnet,training,6,0.14231888355274838,0.9564,6948.29931640625
fcnet,training,7,0.14063986989846292,0.9622,6960.9521484375
fcnet,training,8,0.12656700398959422,0.952,6952.77880859375
fcnet,training,9,0.12717198608465452,0.9601,6998.64013671875
fcnet,training,10,0.12493680792733024,0.9711,6992.2880859375
fcnet,training,11,0.09135215268853132,0.9596,6977.17138671875
fcnet,training,12,0.09651750603769553,0.9671,6988.6845703125
fcnet,training,13,0.0969948954633585,0.9594,6990.9951171875
fcnet,training,14,0.08018210340272819,0.9676,7003.353515625
fcnet,training,15,0.08278151353370072,0.9685,6999.43994140625
fcnet,inference,1,0.10901740642372988,0.9685,414.87078857421875
scvnet,training,1,0.07179191437846288,0.9821,57097.45703125
scvnet,training,2,0.0499439648452963,0.9843,53430.67578125
scvnet,training,3,0.03267801350010557,0.9895,53513.3125
scvnet,training,4,0.025508628705053018,0.9913,53472.54296875
scvnet,training,5,0.020760321323370058,0.9897,53567.8046875
scvnet,training,6,0.010174073654677408,0.9915,53659.4375
scvnet,training,7,0.013197523983475897,0.9899,53658.42578125
scvnet,training,8,0.01153295346509061,0.9911,53662.9296875
scvnet,training,9,0.006061999671476762,0.9913,53640.078125
scvnet,training,10,0.005322062030383023,0.9913,53672.87890625
scvnet,training,11,0.0012457405238298417,0.9915,53652.78125
scvnet,training,12,0.0008855181282348169,0.9929,53658.0703125
scvnet,training,13,0.0010043699128061754,0.9933,53805.52734375
scvnet,training,14,0.0017580176607329763,0.9924,53709.7734375
scvnet,training,15,0.00038535520172595434,0.993,53653.875
scvnet,inference,1,0.038101885777410874,0.993,5090.24658203125
resnet50,training,1,2.956590498685837,0.2514,146222.5625
resnet50,training,2,2.1915041172504424,0.3609,144242.875
resnet50,training,3,1.8810301295916239,0.4079,144285.3125
resnet50,training,4,1.6708605511983237,0.4363,144406.421875
resnet50,training,5,1.593309041261673,0.4808,144356.296875
resnet50,training,6,1.4680751792589823,0.4946,144375.5625
resnet50,training,7,1.3904282681147258,0.511,144379.234375
resnet50,training,8,1.3574437735478084,0.523,144327.046875
resnet50,training,9,1.2870901983976364,0.5388,144334.703125
resnet50,training,10,1.2121541613340379,0.5502,144349.09375
resnet50,training,11,1.1893299541870752,0.5702,144347.6875
resnet50,training,12,1.1127797400951385,0.5607,144345.0625
resnet50,training,13,1.0782496694723764,0.5711,144383.203125
resnet50,training,14,1.0249056484301884,0.5885,144401.171875
resnet50,training,15,0.974897552728653,0.5962,144406.15625
resnet50,inference,1,1.3383133612632752,0.5962,5200.4072265625
densenet121,training,1,1.361930543979009,0.5454,95659.2578125
densenet121,training,2,1.0746226437886557,0.644,95395.0234375
densenet121,training,3,0.9214414703845978,0.6703,94976.0546875
densenet121,training,4,0.7874207896987597,0.7067,94995.90625
densenet121,training,5,0.7059571973482768,0.7273,94938.0
densenet121,training,6,0.6125282307962576,0.7337,94998.0546875
densenet121,training,7,0.528950520803531,0.7393,95108.9140625
densenet121,training,8,0.4449442838629087,0.7593,95113.9296875
densenet121,training,9,0.42474879483381905,0.7506,95038.8671875
densenet121,training,10,0.36140131011605264,0.7611,95092.6875
densenet121,training,11,0.3060269711414973,0.7683,95059.125
densenet121,training,12,0.24750295189519722,0.7661,95059.15625
densenet121,training,13,0.22951210782552758,0.7645,95023.0234375
densenet121,training,14,0.1979599856088559,0.7552,95041.6015625
densenet121,training,15,0.16147939504434666,0.7684,94953.2109375
densenet121,inference,1,0.9552373086929321,0.7684,4669.16748046875
mobilenet_v2,training,1,1.7847539750734964,0.3873,47338.0546875
mobilenet_v2,training,2,1.5331573224067687,0.4775,47302.26171875
mobilenet_v2,training,3,1.4067062906424204,0.5143,47236.44921875
mobilenet_v2,training,4,1.2973716926574708,0.559,47283.2265625
mobilenet_v2,training,5,1.2647394756476085,0.5668,47240.01953125
mobilenet_v2,training,6,1.1587711532910665,0.5588,47296.90234375
mobilenet_v2,training,7,1.1198070098956425,0.5901,47272.34375
mobilenet_v2,training,8,1.0934172213077544,0.6204,47288.28125
mobilenet_v2,training,9,1.039879650870959,0.6051,47308.91015625
mobilenet_v2,training,10,1.0487463545799256,0.6124,47307.49609375
mobilenet_v2,training,11,0.962465848326683,0.6576,47312.5234375
mobilenet_v2,training,12,0.9290753843386969,0.6527,47292.484375
mobilenet_v2,training,13,0.9651314827799797,0.6559,47368.33984375
mobilenet_v2,training,14,0.8445453159014384,0.6779,47278.49609375
