mnames,eps,trloss,acc,times
mobilenet_v2,1,1.748458285331726,0.3882,47954.54296875
mobilenet_v2,2,1.5663644341627756,0.4696,46913.484375
mobilenet_v2,3,1.4794227707386016,0.4986,47102.23046875
mobilenet_v2,4,1.3981048740943274,0.5225,47124.06640625
mobilenet_v2,5,1.3312035890420277,0.539,47188.83984375
mobilenet_v2,6,1.2633311680952708,0.5578,47335.85546875
mobilenet_v2,7,1.2298957367738088,0.5727,47255.33984375
mobilenet_v2,8,1.1759550416469573,0.5948,47279.828125
mobilenet_v2,9,1.1165727573633193,0.5993,47319.28515625
mobilenet_v2,10,1.0659431487321853,0.6171,47262.296875
mobilenet_v2,11,1.0537540916601817,0.6088,47335.15234375
mobilenet_v2,12,1.0244085043668747,0.617,47298.1484375
mobilenet_v2,13,0.9954045253992081,0.6259,47411.515625
mobilenet_v2,14,0.9651551516850789,0.633,47230.30078125
mobilenet_v2,15,0.9397914603352546,0.6365,47224.859375
