mnames,eps,trloss,acc,times
fcnet,1,0.3547887858152057,0.8802,14010.0166015625
fcnet,2,0.2541525462151436,0.9333,6977.5693359375
fcnet,3,0.20878604778030843,0.9275,6787.3388671875
fcnet,4,0.19703260067183043,0.9489,6828.2099609375
fcnet,5,0.15394992900557095,0.9553,6924.826171875
fcnet,6,0.14462352836880474,0.9615,6850.990234375
fcnet,7,0.136696816157892,0.9547,6962.7275390625
fcnet,8,0.1305213989507752,0.9543,6991.49609375
fcnet,9,0.12097048517505515,0.9562,7049.8037109375
fcnet,10,0.11664239639870567,0.9656,6924.6767578125
fcnet,11,0.10293368781387108,0.9651,6944.05908203125
fcnet,12,0.09013313082934137,0.962,6909.2744140625
fcnet,13,0.09206219814500916,0.967,6931.91259765625
fcnet,14,0.0900954414122548,0.9501,6925.265625
fcnet,15,0.08415872465046137,0.9733,6933.71923828125
resnet50,1,3.089999874432882,0.2595,157926.6875
resnet50,2,2.2715589666366576,0.2938,145184.65625
resnet50,3,1.9611433692773184,0.349,145185.234375
resnet50,4,1.8439410781860353,0.3929,145160.53125
resnet50,5,1.7090757886568706,0.3992,145129.796875
resnet50,6,1.6336081624031067,0.437,145246.375
resnet50,7,1.5721675431728364,0.4593,144340.984375
resnet50,8,1.5076309915383657,0.4666,144371.28125
resnet50,9,1.472591940164566,0.4841,144307.890625
resnet50,10,1.415700679620107,0.4989,144331.671875
resnet50,11,1.3646124080816904,0.5162,144332.046875
resnet50,12,1.32989006737868,0.5319,144332.453125
resnet50,13,1.2960127131144206,0.5352,144356.625
resnet50,14,1.2338816757996878,0.5491,144365.84375
resnet50,15,1.2376253400246302,0.5566,144342.75
densenet121,1,1.3744262806574503,0.5618,95845.8671875
densenet121,2,1.0804052315155666,0.6321,95524.8046875
densenet121,3,0.9322695128122965,0.6559,95237.421875
densenet121,4,0.8306886041164399,0.7033,95079.765625
densenet121,5,0.8046276506781578,0.7106,95143.6953125
densenet121,6,0.6855288645625115,0.7408,95100.984375
densenet121,7,0.5870340920984745,0.7384,95167.4765625
densenet121,8,0.5331599203993876,0.7402,95114.34375
densenet121,9,0.4855179431041082,0.7454,95021.5390625
densenet121,10,0.3876914291083813,0.751,95148.6953125
densenet121,11,0.3226930420473218,0.7599,95155.890625
densenet121,12,0.30236418834577006,0.7656,95099.1484375
densenet121,13,0.2486485264574488,0.757,95157.8671875
densenet121,14,0.22489504336069027,0.7556,95090.8828125
densenet121,15,0.18275015460327268,0.7718,95182.0390625
mobilenet_v2,1,1.857543306350708,0.3557,47574.71875
mobilenet_v2,2,1.577019544839859,0.4681,47346.55078125
mobilenet_v2,3,1.458117834329605,0.5094,47357.52734375
mobilenet_v2,4,1.4575902485847474,0.5159,47350.5078125
mobilenet_v2,5,1.3149498307704925,0.5429,47396.55078125
mobilenet_v2,6,1.266681701540947,0.5546,47366.62109375
mobilenet_v2,7,1.248650135199229,0.5799,47286.66796875
mobilenet_v2,8,1.1640631866455078,0.6151,47272.15234375
mobilenet_v2,9,1.183253395954768,0.6067,47388.59375
mobilenet_v2,10,1.0850631632407506,0.608,47369.80859375
mobilenet_v2,11,1.0325955983002981,0.6366,47334.21484375
mobilenet_v2,12,0.9784672393401463,0.6637,47349.30078125
mobilenet_v2,13,0.9589272329211235,0.6612,47350.7734375
mobilenet_v2,14,0.8856923059622447,0.6611,47320.5234375
mobilenet_v2,15,0.8716148980458578,0.675,47321.96484375
convnext_small,1,1.6846213773886363,0.4134,424349.40625
convnext_small,2,1.6243072871367137,0.4226,424141.96875
convnext_small,3,1.5529289376735687,0.4347,424310.78125
convnext_small,4,1.5258816134929658,0.4484,424374.1875
convnext_small,5,1.4934472449620564,0.4587,424342.15625
convnext_small,6,1.4789228129386902,0.4755,424348.5625
convnext_small,7,1.4447123996416729,0.4621,424369.9375
convnext_small,8,1.4337862207492194,0.4919,424243.5625
convnext_small,9,1.4155315564076105,0.4833,424431.71875
convnext_small,10,1.4144964228073755,0.4874,424070.625
convnext_small,11,1.3840055559078852,0.4943,424168.53125
convnext_small,12,1.3485916898647945,0.4992,424262.28125
convnext_small,13,1.3356526913245519,0.5165,424112.40625
convnext_small,14,1.3012481186787288,0.5298,424186.15625
convnext_small,15,1.2751996105909347,0.5286,424134.84375
