framework,mnames,type,eps,loss,acc,times
cudnn,fcnet,training,1,0.729479,87.0938,875.123
cudnn,fcnet,training,2,0.729479,87.0938,498.745
cudnn,fcnet,training,3,0.729479,87.0938,447.606
cudnn,fcnet,training,4,0.729479,87.0938,447.177
cudnn,fcnet,training,5,0.729479,87.0938,446.974
cudnn,fcnet,training,6,0.729479,87.0938,447.018
cudnn,fcnet,training,7,0.729479,87.0938,447.325
cudnn,fcnet,training,8,0.729479,87.0938,446.958
cudnn,fcnet,training,9,0.729479,87.0938,450.93
cudnn,fcnet,training,10,0.729479,87.0938,448.334
cudnn,fcnet,training,11,0.729479,87.0938,446.916
cudnn,fcnet,training,12,0.729479,87.0938,447.008
cudnn,fcnet,training,13,0.729479,87.0938,447.183
cudnn,fcnet,training,14,0.729479,87.0938,446.82
cudnn,fcnet,training,15,0.729479,87.0938,447.825
cudnn,fcnet,inference,1,0.646714,86.9792,9.49491
cudnn,scvnet,training,1,0.315216,90.4844,12843.7
cudnn,scvnet,training,2,0.315216,90.4844,2564.38
cudnn,scvnet,training,3,0.315216,90.4844,2531.44
cudnn,scvnet,training,4,0.315216,90.4844,2528.65
cudnn,scvnet,training,5,0.315216,90.4844,2527.66
cudnn,scvnet,training,6,0.315216,90.4844,2528.07
cudnn,scvnet,training,7,0.315216,90.4844,2527.72
cudnn,scvnet,training,8,0.315216,90.4844,2527.66
cudnn,scvnet,training,9,0.315216,90.4844,2527.57
cudnn,scvnet,training,10,0.315216,90.4844,2531.28
cudnn,scvnet,training,11,0.315216,90.4844,2540.32
cudnn,scvnet,training,12,0.315216,90.4844,2539.56
cudnn,scvnet,training,13,0.315216,90.4844,2539.79
cudnn,scvnet,training,14,0.315216,90.4844,2540.95
cudnn,scvnet,training,15,0.315216,90.4844,2539.42
cudnn,scvnet,inference,1,0.301672,90.8333,55.2796
matlab,fcnet,training,1,0.158865839242935,95.86,24819.022
matlab,fcnet,training,2,0.143883407115936,96.95,19077.34
matlab,fcnet,training,3,0.0254562683403492,97.59,22996.734000000004
matlab,fcnet,training,4,0.0114372689276934,97.61,26736.834000000003
matlab,fcnet,training,5,0.0561839118599892,98.04,30676.812999999995
matlab,fcnet,training,6,0.0085521573200821,98.03,34545.822
matlab,fcnet,training,7,0.0304227042943239,98.08,38250.975999999995
matlab,fcnet,training,8,0.105277724564075,98.14,41996.09700000001
matlab,fcnet,training,9,0.0548993349075317,98.24,45811.753999999986
matlab,fcnet,training,10,0.0215691551566124,98.22,49714.56099999999
matlab,fcnet,training,11,0.0243925340473652,98.31,53526.234000000055
matlab,fcnet,training,12,0.0076080528087914,98.18,57073.07599999994
matlab,fcnet,training,13,0.0116686774417758,98.24,60929.20400000003
matlab,fcnet,training,14,0.022415678948164,98.34,64718.73000000004
matlab,fcnet,training,15,0.0046559646725654,98.3,68446.14500000002
matlab,fcnet,inference,1,-1.0,0.983,179.339
matlab,mobilenet_v2,training,1,1.96593177318573,26.76,432322.313
matlab,mobilenet_v2,training,2,1.74235916137695,32.91,413455.9930000001
matlab,mobilenet_v2,training,3,1.86600136756897,36.1,416424.6699999999
matlab,mobilenet_v2,training,4,2.26166725158691,23.77,419808.9949999999
matlab,mobilenet_v2,training,5,1.84106910228729,26.84,422870.80599999987
matlab,mobilenet_v2,training,6,1.99936532974243,24.02,427003.62600000016
matlab,mobilenet_v2,training,7,1.94726049900055,27.64,431407.7990000001
matlab,mobilenet_v2,training,8,2.16204404830933,29.29,433620.97600000026
matlab,mobilenet_v2,training,9,1.91596913337708,32.94,436876.1629999997
matlab,mobilenet_v2,training,10,1.93011152744293,34.09,438678.784
matlab,mobilenet_v2,training,11,1.93248701095581,28.04,442510.86099999957
matlab,mobilenet_v2,training,12,1.87620985507965,28.75,443087.0990000004
matlab,mobilenet_v2,training,13,1.71672797203064,36.88,447134.6030000001
matlab,mobilenet_v2,training,14,1.83675289154053,34.2,450621.4210000001
matlab,mobilenet_v2,training,15,2.1559054851532,23.69,453175.9670000002
matlab,mobilenet_v2,inference,1,-1.0,0.2455,2539.004
pytorch,fcnet,training,1,0.3530371904339594,0.9248,7696.34375
pytorch,fcnet,training,2,0.2618356795397847,0.9329,6934.4970703125
